subject,subject_label,relation,object,object_label,subject_qid,object_qid,status,matched_property_id,matched_property_label,matched_property_uri,similarity_score
1981,DATE,book,Jean Baudrillard,PERSON,,Q182847,entities_not_aligned_to_wikidata,,,,0.0
1983,DATE,fall,1985,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
1983,DATE,fall,Nintendo,ORG,,Q3070866,entities_not_aligned_to_wikidata,,,,0.0
1985,DATE,fall,Nintendo,ORG,,Q3070866,entities_not_aligned_to_wikidata,,,,0.0
1987,DATE,follow,Universal,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
1987,DATE,regard,ArchiCAD,ORG,,Q506636,entities_not_aligned_to_wikidata,,,,0.0
1988,DATE,find,Commission for Racial Equality,ORG,,Q5152654,entities_not_aligned_to_wikidata,,,,0.0
1988,DATE,find,St. George's Medical School,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
1988,DATE,find,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
1989,DATE,support,France,GPE,,Q142,entities_not_aligned_to_wikidata,,,,0.0
1992,DATE,paper,F. P. Tolman.[16,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
1992,DATE,paper,G.A. van Nederveen,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
1998,DATE,create,Andrew Edmonds,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
1998,DATE,create,Science in Finance Ltd,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
1998,DATE,create,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2 November 2013,DATE,magazine,December 2011,DATE,,Q386251,entities_not_aligned_to_wikidata,,,,0.0
2 November 2022,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2002,DATE,archive,2015-05-22,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2002,DATE,form,SSH,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2002,DATE,form,the Society for Simulation in Healthcare,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2002,DATE,release,Autodesk,ORG,,Q628051,entities_not_aligned_to_wikidata,,,,0.0
2003,DATE,archive,-07-08,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2003,DATE,archive,2017-07-04,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2003,DATE,concern,the University of Sydney,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2004,DATE,research,the University of Hong Kong,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2005,DATE,found,Marc Wirk,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
2005,DATE,include,Greg Lynn,PERSON,,Q513374,entities_not_aligned_to_wikidata,,,,0.0
2005,DATE,include,Quantum Film,ORG,,Q121357737,entities_not_aligned_to_wikidata,,,,0.0
2006,DATE,media service provider,Netflix,ORG,,Q907311,entities_not_aligned_to_wikidata,,,,0.0
2007,DATE,archive,2009-08-12,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2007,DATE,found,DBpedia,ORG,,Q465,entities_not_aligned_to_wikidata,,,,0.0
2007,DATE,found,Freebase,ORG,,Q1453477,entities_not_aligned_to_wikidata,,,,0.0
2007,DATE,need,Erezi,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
2007,DATE,need,Utiome,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
2008,DATE,foreword,Eastman,PERSON,,Q3046582,entities_not_aligned_to_wikidata,,,,0.0
2008,DATE,op cit p.xii,Van Nederveen,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2009,DATE,through initiative,2013,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2009,DATE,through initiative,Switzerland,GPE,,Q39,entities_not_aligned_to_wikidata,,,,0.0
2010,DATE,article,The Wall Street Journal,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2010,DATE,establish,Cisco Systems,ORG,,Q173395,entities_not_aligned_to_wikidata,,,,0.0
2010,DATE,establish,the Clinton Foundation,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2011,DATE,attract,Barcelona,GPE,,Q1492,entities_not_aligned_to_wikidata,,,,0.0
2011,DATE,attract,the Smart City Expo World Congress,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2011,DATE,hear,2020,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,business value,South Korea,GPE,,Q884,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,co founder,", Vinod Khosla",PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,co founder,Sun Microsystems,ORG,,Q14647,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,establish,the Smart Cities Marketplace,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,estimate,2017,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,include,the Civil and Environmental Engineering Department,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,introduce,DBpedia,ORG,,Q465,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,introduce,Freebase,ORG,,Q1453477,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,introduce,Google,ORG,,Q95,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,professional engineer university,Iran,GPE,,Q794,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,status adoption implementation,South Korea.[74,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2012,DATE,through,Ministry of Housing and Urban-Rural Development.[36,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2013,DATE,develop,2007,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2013,DATE,develop,the United Kingdom,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2013,DATE,mandate,2015 to 2017,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2013,DATE,show,France,GPE,,Q142,entities_not_aligned_to_wikidata,,,,0.0
2013,DATE,structural m&e submission,2014,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2013,DATE,survey,European BIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2014,DATE,state outlook,India,GPE,,Q668,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,archive,14 April 2019,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,archive,16 August 2019,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,chapter,Domingos,PERSON,,Q18695825,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,many project rebuilding,Christchurch,GPE,,Q79990,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,possibility,Russia,GPE,,Q159,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,promote,Portugal,GPE,,Q45,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,promote,the Technical Committee for BIM Standardisation,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,propose,the United Kingdom,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2015,DATE,tag,Google Photos,ORG,,Q20007086,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,launch,AT&T,ORG,,Q35476,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,launch,Cisco,ORG,,Q173395,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,launch,Deloitte,ORG,,Q491748,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,launch,Ericsson,ORG,,Q52618,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,launch,General Electric,ORG,,Q54173,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,lead,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,set,Quality and Conformity Commission,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,set,UAE,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,test,Microsoft,ORG,,Q2283,entities_not_aligned_to_wikidata,,,,0.0
2016,DATE,test,Twitter,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2017,DATE,detection,Encyclopedia of Database Systems,ORG,,Q63033999,entities_not_aligned_to_wikidata,,,,0.0
2017,DATE,detection,Springer New York,ORG,,Q21694652,entities_not_aligned_to_wikidata,,,,0.0
2017,DATE,supersede,CSTB,ORG,,Q17911028,entities_not_aligned_to_wikidata,,,,0.0
2017,DATE,supersede,France,GPE,,Q142,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,administer,the Association for the Development of Digital in Construction,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,announce,Belgrade,GPE,,Q3711,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,announce,Huawei,ORG,,Q160120,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,announce,Serbia,GPE,,Q403,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,automation congress,WAC,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,begin,Kuala Lumpur,GPE,,Q1865,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,drive,Uber,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2018,DATE,promote,the Ministry of Economic Affairs,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2019-04-01,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2019-12-05,DATE,archive,28 November 2019,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2019-12-05,DATE,archive,The Sun,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2020-07-28,DATE,external link,1982,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2020-07-28,DATE,external link,MIT,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2020-08-01,DATE,archive,CAEWatch,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2020-08-01,DATE,archive,"September 12, 2011",DATE,,Q22664452,entities_not_aligned_to_wikidata,,,,0.0
2020-08-01,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2021,DATE,look,NIBS,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2021,DATE,look,the National Institute of Building Sciences,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2022,DATE,forecast,New York City,GPE,,Q60,entities_not_aligned_to_wikidata,,,,0.0
2022,DATE,forecast,Singapore,GPE,,Q334,entities_not_aligned_to_wikidata,,,,0.0
2022,DATE,forecast,Tokyo,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
2023,DATE,empower,Salisbury,GPE,,Q160642,entities_not_aligned_to_wikidata,,,,0.0
2024,DATE,exemplify,LLM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
2025,DATE,start,1 January 2019.[89][90,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
2025-12-05,DATE,b c,Ehrlinger,PERSON,,Q37485558,entities_not_aligned_to_wikidata,,,,0.0
2025-12-05,DATE,b c,Lisa,PERSON,,Q1588186,entities_not_aligned_to_wikidata,,,,0.0
2025-12-05,DATE,b c,Wöß,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
22 December 2017,DATE,thesis,1970,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
22 December 2017,DATE,thesis,University of Edinburgh,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
25 February 2021,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
26 April 2011,DATE,circulate,1956,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
27 January 2009,DATE,archive,2 November 2022,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
27 January 2009,DATE,archive,Kratzig,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
27 January 2009,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
28 November 2019,DATE,archive,Nigeria,GPE,,Q1033,entities_not_aligned_to_wikidata,,,,0.0
28 November 2019,DATE,archive,The Sun,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
31 January 2019,DATE,access,28 January 2024,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
4,DATE,publish,January 2017,DATE,,Q20650869,entities_not_aligned_to_wikidata,,,,0.0
4 June 2016,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
5 October 2012,DATE,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
6 March 2008,DATE,see,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
82,ORG,develop,Apollo,ORG,,Q665812,entities_not_aligned_to_wikidata,,,,0.0
AID,ORG,rename,"""Design Computing and Cognition",ORG,,,entities_not_aligned_to_wikidata,,,,0.0
AND Construction,ORG,found,2017,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
ASCN,ORG,advance across,ASEAN,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
ASP,ORG,script,Kerr,PERSON,,Q4042166,entities_not_aligned_to_wikidata,,,,0.0
AT&T,ORG,launch,Cisco,ORG,Q35476,Q173395,no_predicate_found,,,,0.0
AT&T,ORG,launch,Deloitte,ORG,Q35476,Q491748,no_predicate_found,,,,0.0
AT&T,ORG,launch,Ericsson,ORG,Q35476,Q52618,no_predicate_found,,,,0.0
AT&T,ORG,launch,General Electric,ORG,Q35476,Q54173,no_predicate_found,,,,0.0
AT&T Labs-Research,ORG,collaboration team,Big Chaos,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
AT&T Labs-Research,ORG,collaboration team,Pragmatic Theory,ORG,,Q7237641,entities_not_aligned_to_wikidata,,,,0.0
Accuscore,ORG,license,ESPN,ORG,,Q217776,entities_not_aligned_to_wikidata,,,,0.0
Acornsoft,ORG,cause,1984,DATE,Q3604604,,entities_not_aligned_to_wikidata,,,,0.0
Airbnb,ORG,include,Amazon,ORG,Q63327,Q3884,no_predicate_found,,,,0.0
Airbnb,ORG,include,Microsoft,ORG,Q63327,Q2283,no_predicate_found,,,,0.0
Airbnb,ORG,include,Uber,ORG,Q63327,,entities_not_aligned_to_wikidata,,,,0.0
Alexander Bain,PERSON,propose,William James,PERSON,Q384882,,entities_not_aligned_to_wikidata,,,,0.0
Alfredo,PERSON,reconstruct,2002,DATE,Q645734,,entities_not_aligned_to_wikidata,,,,0.0
Alibaba,ORG,clash,China,GPE,Q1359568,Q148,candidate_found,P17,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/prop/direct/P17,0.056
Amazon,ORG,include,Uber,ORG,Q3884,,entities_not_aligned_to_wikidata,,,,0.0
Amazon,ORG,social network such,Facebook,ORG,Q3884,Q355,no_predicate_found,,,,0.0
Amazon,ORG,social network such,LinkedIn,ORG,Q3884,Q213660,no_predicate_found,,,,0.0
America,GPE,accord,David K. Owens,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
America,GPE,need,NARUC,ORG,,Q108748987,entities_not_aligned_to_wikidata,,,,0.0
Amsterdam,GPE,establish,Seoul,GPE,Q727,Q8684,no_predicate_found,,,,0.0
Andia,PERSON,reconstruct,2002,DATE,Q115925869,,entities_not_aligned_to_wikidata,,,,0.0
Andia,PERSON,reconstruct,Alfredo,PERSON,Q115925869,Q645734,no_predicate_found,,,,0.0
Andrew Edmonds,PERSON,create,Science in Finance Ltd,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Andrew Edmonds,PERSON,create,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
Apple,ORG,associate,Amazon,ORG,Q312,Q3884,no_predicate_found,,,,0.0
Apple,ORG,social network such,LinkedIn,ORG,Q312,Q213660,no_predicate_found,,,,0.0
April 2016,DATE,publish,the UK Government,ORG,Q2874588,,entities_not_aligned_to_wikidata,,,,0.0
Arthur Samuel,PERSON,coin,1959,DATE,Q710266,,entities_not_aligned_to_wikidata,,,,0.0
Associated General Contractors of America,ORG,require,US,GPE,Q21015616,,entities_not_aligned_to_wikidata,,,,0.0
Atari,ORG,cause,1980,DATE,Q207922,,entities_not_aligned_to_wikidata,,,,0.0
Atari,ORG,cause,1984,DATE,Q207922,,entities_not_aligned_to_wikidata,,,,0.0
Atari,ORG,cause,Acornsoft,ORG,Q207922,Q3604604,no_predicate_found,,,,0.0
August 2004,DATE,estimate,Institute of Standards and Technology,ORG,Q760686,,entities_not_aligned_to_wikidata,,,,0.0
August 2004,DATE,estimate,NIST,ORG,Q760686,,entities_not_aligned_to_wikidata,,,,0.0
August 2004,DATE,estimate,US,GPE,Q760686,,entities_not_aligned_to_wikidata,,,,0.0
Australia,GPE,more than year,the late 1960s,DATE,Q408,,entities_not_aligned_to_wikidata,,,,0.0
Autodesk,ORG,dominate,Dassault Systèmes,ORG,Q628051,Q1172038,no_predicate_found,,,,0.0
Autodesk,ORG,dominate,PTC,ORG,Q628051,,entities_not_aligned_to_wikidata,,,,0.0
Autodesk,ORG,dominate,Siemens PLM Software,ORG,Q628051,,entities_not_aligned_to_wikidata,,,,0.0
Autodesk,ORG,help,Bentley Systems,ORG,Q628051,Q818314,no_predicate_found,,,,0.0
Autodesk,ORG,help,Graphisoft,ORG,Q628051,Q743588,no_predicate_found,,,,0.0
BCA,ORG,magazine,December 2011,DATE,,Q386251,entities_not_aligned_to_wikidata,,,,0.0
BIM,ORG,enhance,Fashola,PERSON,,Q62356,entities_not_aligned_to_wikidata,,,,0.0
BIM,ORG,must become standard construction,Germany,GPE,,Q183,entities_not_aligned_to_wikidata,,,,0.0
BIM,ORG,pencil,2018,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
BIM Africa Initiative,ORG,base,Nigeria,GPE,,Q1033,entities_not_aligned_to_wikidata,,,,0.0
BIMaS,ORG,establish,January 2013,DATE,Q10429684,Q1206823,no_predicate_found,,,,0.0
BIMaS,ORG,support,Chamber of Architects,ORG,Q10429684,Q635047,no_predicate_found,,,,0.0
BIMaS,ORG,support,the Chamber of Civil Engineers,ORG,Q10429684,,entities_not_aligned_to_wikidata,,,,0.0
BS2015,DATE,14th,Hyderabad,GPE,,Q1361,entities_not_aligned_to_wikidata,,,,0.0
BS2015,DATE,14th,India,GPE,,Q668,entities_not_aligned_to_wikidata,,,,0.0
BSI,ORG,launch,CDBB,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Baidu,ORG,clash,China,GPE,Q14772,Q148,candidate_found,P17,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/prop/direct/P17,0.056
Baidu,ORG,develop,Apollo,ORG,Q14772,Q665812,no_predicate_found,,,,0.0
Banks,PERSON,design,2009,DATE,Q806825,,entities_not_aligned_to_wikidata,,,,0.0
Barcelona,GPE,establish,ITeC,ORG,Q1492,,entities_not_aligned_to_wikidata,,,,0.0
Barcelona,GPE,professional,Spain,GPE,Q1492,Q29,candidate_found,P17,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/prop/direct/P17,0.186
Basel,GPE,raise,Felix Platter Hospital[99,ORG,Q78,,entities_not_aligned_to_wikidata,,,,0.0
Belgrade,GPE,conjunction,Huawei,ORG,Q3711,Q160120,no_predicate_found,,,,0.0
Bentley Systems,ORG,help,Graphisoft,ORG,Q818314,Q743588,no_predicate_found,,,,0.0
Bernard P. Zeigler,PERSON,author,Phillip E. Hammonds,PERSON,Q16105529,,entities_not_aligned_to_wikidata,,,,0.0
Berry,PERSON,get,Christopher R.,PERSON,Q827140,Q109551603,no_predicate_found,,,,0.0
Big Chaos,ORG,build,Pragmatic Theory,ORG,,Q7237641,entities_not_aligned_to_wikidata,,,,0.0
Bill East,PERSON,devise,the United States Army Corps of Engineers,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Bing,ORG,associate,Yahoo,ORG,Q182496,,entities_not_aligned_to_wikidata,,,,0.0
Bischof,PERSON,prove,Pfurtscheller[30,PERSON,Q866108,,entities_not_aligned_to_wikidata,,,,0.0
Bloomberg Philanthropies,ORG,launch,the Rockefeller Foundation,ORG,Q16987920,,entities_not_aligned_to_wikidata,,,,0.0
Bloomberg Philanthropies,ORG,launch,the United States Department of Transportation.[21,ORG,Q16987920,,entities_not_aligned_to_wikidata,,,,0.0
Boston,GPE,television radio station,Polshek Partnership,ORG,Q100,Q107005228,no_predicate_found,,,,0.0
Boston,GPE,television radio station,WGBH,ORG,Q100,,entities_not_aligned_to_wikidata,,,,0.0
British Standards Institute,ORG,initiative,UK,GPE,,,entities_not_aligned_to_wikidata,,,,0.0
Bruzzone A.G.,ORG,base,Guide to Simulation-Based Disciplines,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Brydges,PERSON,et al,2013,DATE,Q21507019,,entities_not_aligned_to_wikidata,,,,0.0
BuildSmart,ORG,archive,2 November 2013,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
BuildSmart,ORG,archive,BCA,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
BuildSmart,ORG,archive,the Wayback Machine,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
Building and Construction Authority,ORG,announce,BCA,ORG,Q4986523,,entities_not_aligned_to_wikidata,,,,0.0
BuildingSmart Hong Kong,ORG,inaugurate,Hong Kong,GPE,,Q8646,entities_not_aligned_to_wikidata,,,,0.0
BuildingSmart Hong Kong,ORG,inaugurate,late April 2012.[62,DATE,,,entities_not_aligned_to_wikidata,,,,0.0
C. A. Brebbia,PERSON,digital architecture construction abstract,S. Hatzellis,PERSON,,,entities_not_aligned_to_wikidata,,,,0.0
C. A. Brebbia,PERSON,digital architecture construction abstract,University of Technology,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
CAEWatch,ORG,archive,"September 12, 2011",DATE,,Q22664452,entities_not_aligned_to_wikidata,,,,0.0
CANBIM,ORG,found,the Institute for BIM,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
CDBB,ORG,launch,the BSI Group,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
CDBB,ORG,launch,the UK BIM Alliance[a,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
CDBB,ORG,launch,the UK BIM Framework,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
CIA,ORG,incorporate,Wikidata,ORG,,,entities_not_aligned_to_wikidata,,,,0.0
CRIDA,ORG,include,"Faculty of Architecture, Building and Planning",ORG,Q77163370,,entities_not_aligned_to_wikidata,,,,0.0
CRIDA,ORG,include,University of Melbourne,ORG,Q77163370,,entities_not_aligned_to_wikidata,,,,0.0
CSTB,ORG,supersede,France,GPE,Q17911028,Q142,no_predicate_found,,,,0.0
CT197-BIM,ORG,create,Portugal,GPE,,Q45,entities_not_aligned_to_wikidata,,,,0.0
Cambridge,GPE,base,Centre for Digital Built Britain,ORG,Q49111,Q85751274,no_predicate_found,,,,0.0
Cambridge,GPE,base,December 2017,DATE,Q49111,Q22971091,no_predicate_found,,,,0.0
Cambridge,GPE,reprint,1991,DATE,Q49111,,entities_not_aligned_to_wikidata,,,,0.0
Cambridge,GPE,reprint,MA,GPE,Q49111,,entities_not_aligned_to_wikidata,,,,0.0
Canada,GPE,found,the Institute for BIM,ORG,Q16,,entities_not_aligned_to_wikidata,,,,0.0
Canada,GPE,paper,Bank of Canada,ORG,Q16,Q806703,candidate_found,P1304,http://www.wikidata.org/prop/direct/P1304,http://www.wikidata.org/prop/direct/P1304,0.211
Canada,GPE,support,CANBIM,ORG,Q16,,entities_not_aligned_to_wikidata,,,,0.0
Canada,GPE,support,the Canada BIM Council,ORG,Q16,,entities_not_aligned_to_wikidata,,,,0.0
Carnegie Mellon,ORG,include,Department of Computer Science,ORG,Q190080,Q5260203,no_predicate_found,,,,0.0
Carnegie Mellon,ORG,include,University College London,ORG,Q190080,,entities_not_aligned_to_wikidata,,,,0.0
Celestino Soddu,PERSON,paper,Generative Art Design Papers,ORG,Q5057948,,entities_not_aligned_to_wikidata,,,,0.0
Centre for Digital Built Britain,ORG,announce,December 2017,DATE,Q85751274,Q22971091,no_predicate_found,,,,0.0
Centre for Digital Built Britain,ORG,announce,early 2018.[108,DATE,Q85751274,,entities_not_aligned_to_wikidata,,,,0.0
Chan,PERSON,enable,3 April 2017,DATE,Q29011444,,entities_not_aligned_to_wikidata,,,,0.0
Chan,PERSON,enable,Karin,PERSON,Q29011444,Q1814118,no_predicate_found,,,,0.0
Chicoutimi,GPE,research team outdoor research,Laboratoire d'Expertise et de Recherche en Plein Air,ORG,Q952269,,entities_not_aligned_to_wikidata,,,,0.0
China,GPE,during,Eleventh,DATE,Q148,Q1930430,no_predicate_found,,,,0.0
China,GPE,during,Five-Year Plan,DATE,Q148,Q2916326,no_predicate_found,,,,0.0
China,GPE,include,2014-2020,DATE,Q148,,entities_not_aligned_to_wikidata,,,,0.0
Christmas,DATE,theme around,Santa Claus,PERSON,Q16826756,Q315796,no_predicate_found,,,,0.0
Cisco,ORG,launch,Deloitte,ORG,Q173395,Q491748,no_predicate_found,,,,0.0
Cisco,ORG,launch,Ericsson,ORG,Q173395,Q52618,no_predicate_found,,,,0.0
Cisco,ORG,launch,General Electric,ORG,Q173395,Q54173,no_predicate_found,,,,0.0
